callsign|channel|city|state|licensee|lat|lon
KWHY-TV|4|LOS ANGELES|CA|SUNSET BOULEVARD BROADCASTING CORPORATION|34.213306|-118.062306
KWKB|25|IOWA CITY|IA|FAITH BROADCASTING NETWORK, INC.|41.724778|-91.352833
KWKS|19|COLBY|KS|SMOKY HILLS PUBLIC TELEVISION CORP.|39.241944|-101.361111
KWKT-TV|28|WACO|TX|NEXSTAR MEDIA INC.|31.314889|-97.326972
KWNB-TV|6|HAYES CENTER|NE|KHGI LICENSEE, LLC|40.625556|-101.029722
KWNV|16|WINNEMUCCA|NV|GRAY TELEVISION LICENSEE, LLC|41.008611|-117.770278
KWOG|29|SPRINGDALE|AR|WORD OF GOD FELLOWSHIP, INC.|36.063056|-94.207361
KWPX-TV|33|BELLEVUE|WA|ION MEDIA LICENSE COMPANY, LLC|47.504528|-121.969444
KWQC-TV|17|DAVENPORT|IA|GRAY TELEVISION LICENSEE, LLC|41.546889|-90.477167
KWSE|11|WILLISTON|ND|PRAIRIE PUBLIC BROADCASTING, INC.|48.141667|-103.893333
KWSU-TV|10|PULLMAN|WA|WASHINGTON STATE UNIVERSITY|46.861750|-117.175694
KWTV-DT|25|OKLAHOMA CITY|OK|GRIFFIN LICENSING, L.L.C.|35.597806|-97.489778
KWTX-TV|10|WACO|TX|GRAY TELEVISION LICENSEE, LLC|31.322000|-97.317500
KWWL|7|WATERLOO|IA|CEDAR-RAPIDS TV LICENSE COMPANY, LLC|42.400556|-91.843611
KWWT|30|ODESSA|TX|GRAY TELEVISION LICENSEE, LLC|32.048028|-102.295972
KWYB|19|BUTTE|MT|COWLES MONTANA MEDIA COMPANY|46.006583|-112.442500
KWYP-DT|8|LARAMIE|WY|CENTRAL WYOMING COLLEGE|41.309833|-105.455556
KXAN-TV|21|AUSTIN|TX|NEXSTAR MEDIA INC.|30.326111|-97.799722
KXAS-TV|24|FORT WORTH|TX|STATION VENTURE OPERATIONS, LP|32.585278|-96.968611
KXGN-TV|5|GLENDIVE|MT|MONTANA STATE UNIVERSITY|47.044167|-104.681778
KXII|12|SHERMAN|TX|GRAY TELEVISION LICENSEE, LLC|34.032778|-96.800278
KXLA|30|RANCHO PALOS VERDES|CA|RANCHO PALOS VERDES BROADCASTERS, INC.|34.226472|-118.066917
KXLF-TV|15|BUTTE|MT|SCRIPPS BROADCASTING HOLDINGS LLC|46.007361|-112.442417
KXLN-DT|30|ROSENBERG|TX|KXLN LICENSE PARTNERSHIP, L.P.|29.562556|-95.509972
KXLT-TV|26|ROCHESTER|MN|GRAY TELEVISION LICENSEE, LLC|43.642778|-92.526667
KXLY-TV|13|SPOKANE|WA|SPOKANE TELEVISION, INC.|47.921667|-117.114444
KXMA-TV|19|DICKINSON|ND|NEXSTAR MEDIA INC.|46.726389|-102.916389
KXMB-TV|12|BISMARCK|ND|NEXSTAR MEDIA INC.|46.589722|-100.806111
KXMC-TV|13|MINOT|ND|NEXSTAR MEDIA INC.|48.050000|-101.342778
KXMD-TV|14|WILLISTON|ND|NEXSTAR MEDIA INC.|48.141667|-103.893333
KXNE-TV|19|NORFOLK|NE|NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION|42.237500|-97.278333
KXNW|25|EUREKA SPRINGS|AR|TRIBUNE BROADCASTING COMPANY II LLC|36.411361|-93.953583
KXRM-TV|22|COLORADO SPRINGS|CO|NEXSTAR MEDIA INC.|38.745250|-104.861639
KXTF|34|TWIN FALLS|ID|TRI-STATE CHRISTIAN TV, INC.|42.728222|-114.412806
KXTV|10|SACRAMENTO|CA|KXTV, LLC|38.240000|-121.501944
